Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	2D_1 Spectral Count	2D_2 Spectral Count	2D_3 Spectral Count	3D_1 Spectral Count	3D_2 Spectral Count	3D_3 Spectral Count	2D_1 Unique Spectral Count	2D_2 Unique Spectral Count	2D_3 Unique Spectral Count	3D_1 Unique Spectral Count	3D_2 Unique Spectral Count	3D_3 Unique Spectral Count	2D_1 Total Spectral Count	2D_2 Total Spectral Count	2D_3 Total Spectral Count	3D_1 Total Spectral Count	3D_2 Total Spectral Count	3D_3 Total Spectral Count	2D_1 Intensity	2D_2 Intensity	2D_3 Intensity	3D_1 Intensity	3D_2 Intensity	3D_3 Intensity	2D_1 MaxLFQ Intensity	2D_2 MaxLFQ Intensity	2D_3 MaxLFQ Intensity	3D_1 MaxLFQ Intensity	3D_2 MaxLFQ Intensity	3D_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q13526|PIN1_HUMAN	Q13526	PIN1_HUMAN	PIN1	163	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	1.0	0.999	6	69	63	69	9	10	9	15	16	10	9	9	8	14	13	10	9	10	9	15	16	10	4.8525412E7	3.896177E7	3.874317E7	4.9465984E7	5.507939E7	5.7140504E7	1.7639698E7	1.4317448E7	1.5108946E7	1.756425E7	2.0549834E7	1.921755E7	
sp|Q13530|SERC3_HUMAN	Q13530	SERC3_HUMAN	SERINC3	473	Homo sapiens	1:Experimental evidence at protein level	Serine incorporator 3	0.9803	0.999	1	6	6	6	2	2	0	1	1	0	2	2	0	1	1	0	2	2	0	1	1	0	4402706.5	2637011.8	3383921.2	3030012.8	2547846.5	1802021.1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13535|ATR_HUMAN	Q13535	ATR_HUMAN	ATR	2644	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase ATR	0.7742	0.9857	2	2	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0.0	2407644.0	2485237.5	3783646.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13541|4EBP1_HUMAN	Q13541	4EBP1_HUMAN	EIF4EBP1	118	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 4E-binding protein 1	1.0	0.999	4	70	70	70	10	9	12	12	15	12	10	9	12	12	15	12	10	9	12	12	15	12	2.987719E7	2.2372468E7	2.5561082E7	2.8450924E7	2.8966528E7	3.0139858E7	1.2274309E7	9306464.0	1.0473824E7	1.2471983E7	1.1850249E7	1.2235247E7	
sp|Q13546|RIPK1_HUMAN	Q13546	RIPK1_HUMAN	RIPK1	671	Homo sapiens	1:Experimental evidence at protein level	Receptor-interacting serine/threonine-protein kinase 1	0.9784	0.9989	2	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	0.0	6369479.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13547|HDAC1_HUMAN	Q13547	HDAC1_HUMAN	HDAC1	482	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase 1	1.0	0.999	17	168	91	168	31	20	27	27	37	26	16	14	14	14	18	15	31	20	27	27	37	26	1.623055E8	1.735034E8	1.6038925E8	1.689214E8	1.795632E8	2.3819054E8	3.0894556E7	3.1843376E7	3.2143914E7	3.321898E7	3.2774478E7	3.424866E7	
sp|Q13555|KCC2G_HUMAN	Q13555	KCC2G_HUMAN	CAMK2G	558	Homo sapiens	1:Experimental evidence at protein level	Calcium/calmodulin-dependent protein kinase type II subunit gamma	1.0	0.999	6	30	9	67	5	4	6	3	5	7	1	0	2	0	2	4	11	10	11	9	13	13	1.500654E7	1.2478017E7	1.3424663E7	1.1818152E7	1.454209E7	1.8469032E7	5835522.5	5046309.0	5348604.5	4595899.5	5772080.5	5328873.5	
sp|Q13557|KCC2D_HUMAN	Q13557	KCC2D_HUMAN	CAMK2D	499	Homo sapiens	1:Experimental evidence at protein level	Calcium/calmodulin-dependent protein kinase type II subunit delta	1.0	0.999	12	100	62	100	13	13	14	16	23	21	7	6	9	10	15	15	13	13	14	16	23	21	4.528406E7	4.9917064E7	9.117818E7	9.051448E7	8.134032E7	1.2003658E8	1.3281466E7	1.3067076E7	1.4434843E7	2.1346372E7	2.0124264E7	2.0244442E7	
sp|Q13561|DCTN2_HUMAN	Q13561	DCTN2_HUMAN	DCTN2	401	Homo sapiens	1:Experimental evidence at protein level	Dynactin subunit 2	1.0	0.999	15	133	133	133	24	19	24	24	22	20	24	19	24	24	22	20	24	19	24	24	22	20	9.041315E7	8.998078E7	9.685882E7	8.947871E7	9.3622264E7	9.321651E7	1.7841186E7	1.763853E7	1.6689457E7	1.9514968E7	1.8176806E7	2.0546316E7	
sp|Q13563|PKD2_HUMAN	Q13563	PKD2_HUMAN	PKD2	968	Homo sapiens	1:Experimental evidence at protein level	Polycystin-2	0.9998	0.999	3	14	14	14	5	2	0	3	4	0	5	2	0	3	4	0	5	2	0	3	4	0	1.2896826E7	1647580.5	2902773.8	8645715.0	3745714.5	0.0	8566898.0	0.0	0.0	5740333.0	3157726.0	0.0	
sp|Q13564|ULA1_HUMAN	Q13564	ULA1_HUMAN	NAE1	534	Homo sapiens	1:Experimental evidence at protein level	NEDD8-activating enzyme E1 regulatory subunit	1.0	0.999	14	69	69	69	8	10	11	14	15	11	8	10	11	14	15	11	8	10	11	14	15	11	5.7863892E7	5.928635E7	5.3053796E7	6.929459E7	7.7052024E7	4.719184E7	1.106661E7	1.2280852E7	1.0806278E7	1.3211447E7	1.3485499E7	1.2187811E7	
sp|Q13569|TDG_HUMAN	Q13569	TDG_HUMAN	TDG	410	Homo sapiens	1:Experimental evidence at protein level	G/T mismatch-specific thymine DNA glycosylase	0.9754	0.9987	1	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1230771.6	0.0	0.0	718204.75	1170729.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13572|ITPK1_HUMAN	Q13572	ITPK1_HUMAN	ITPK1	414	Homo sapiens	1:Experimental evidence at protein level	Inositol-tetrakisphosphate 1-kinase	1.0	0.999	6	45	45	45	7	9	10	6	6	7	7	9	10	6	6	7	7	9	10	6	6	7	3.2909622E7	3.668792E7	3.4678304E7	2.8970354E7	2.693059E7	2.704633E7	1.2733637E7	1.2013468E7	1.1511299E7	1.0850719E7	1.0056539E7	1.0675577E7	
sp|Q13573|SNW1_HUMAN	Q13573	SNW1_HUMAN	SNW1	536	Homo sapiens	1:Experimental evidence at protein level	SNW domain-containing protein 1	1.0	0.999	18	177	177	177	31	32	24	31	31	28	31	32	24	31	31	28	31	32	24	31	31	28	1.5980066E8	1.5645216E8	1.3652576E8	1.6069997E8	1.4599427E8	1.2663965E8	2.3860116E7	2.2450758E7	2.4820406E7	2.4419774E7	2.3557684E7	2.1679944E7	
sp|Q13576|IQGA2_HUMAN	Q13576	IQGA2_HUMAN	IQGAP2	1575	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating-like protein IQGAP2	1.0	0.999	5	6	6	67	0	0	0	2	1	3	0	0	0	2	1	3	10	11	9	13	11	13	1.8027452E7	1.6105801E7	1.5118973E7	1.3650923E7	1.2077153E7	1.505165E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13586|STIM1_HUMAN	Q13586	STIM1_HUMAN	STIM1	685	Homo sapiens	1:Experimental evidence at protein level	Stromal interaction molecule 1	1.0	0.999	20	111	111	111	16	20	18	22	19	16	16	20	18	22	19	16	16	20	18	22	19	16	5.357396E7	6.5295864E7	5.5112424E7	4.806047E7	4.8753204E7	4.466964E7	9531062.0	1.1190082E7	9151890.0	9916647.0	9241311.0	9811409.0	
sp|Q13595|TRA2A_HUMAN	Q13595	TRA2A_HUMAN	TRA2A	282	Homo sapiens	1:Experimental evidence at protein level	Transformer-2 protein homolog alpha	1.0	0.999	8	95	95	95	18	19	16	18	12	12	18	19	16	18	12	12	18	19	16	18	12	12	5.956714E7	6.676055E7	6.2472748E7	5.6607836E7	4.1240644E7	5.6031836E7	1.5935742E7	1.8209416E7	1.7346112E7	1.5913327E7	1.3503778E7	1.4068275E7	
sp|Q13596|SNX1_HUMAN	Q13596	SNX1_HUMAN	SNX1	522	Homo sapiens	1:Experimental evidence at protein level	Sorting nexin-1	1.0	0.999	17	147	147	164	23	20	26	23	27	28	23	20	26	23	27	28	26	22	28	27	30	31	8.729759E7	8.683988E7	1.008215E8	1.0352768E8	1.1184368E8	1.07334344E8	1.9523432E7	1.7973334E7	2.019486E7	2.1651742E7	2.2130212E7	2.0123576E7	
sp|Q13601|KRR1_HUMAN	Q13601	KRR1_HUMAN	KRR1	381	Homo sapiens	1:Experimental evidence at protein level	KRR1 small subunit processome component homolog	1.0	0.999	11	37	37	37	5	12	11	3	2	4	5	12	11	3	2	4	5	12	11	3	2	4	2.6293438E7	7.283815E7	1.3399249E8	2.0483744E7	1.5998932E7	2.9978742E7	1.2600996E7	2.8570694E7	2.3126148E7	1.3306527E7	1.2969955E7	1.6971366E7	
sp|Q13610|PWP1_HUMAN	Q13610	PWP1_HUMAN	PWP1	501	Homo sapiens	1:Experimental evidence at protein level	Periodic tryptophan protein 1 homolog	1.0	0.999	12	94	94	94	14	14	18	15	16	17	14	14	18	15	16	17	14	14	18	15	16	17	9.4647416E7	5.9855452E7	6.2611708E7	8.080824E7	4.6306816E7	6.4121544E7	2.3878814E7	2.6647948E7	2.1732526E7	1.8744784E7	1.5766321E7	2.0277936E7	
sp|Q13613|MTMR1_HUMAN	Q13613	MTMR1_HUMAN	MTMR1	665	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol-3-phosphate phosphatase MTMR1	0.9889	0.999	2	9	9	9	2	2	0	3	1	1	2	2	0	3	1	1	2	2	0	3	1	1	5546443.5	5100999.0	5839392.0	5492944.0	5183868.0	5362904.5	3829791.0	3871828.0	4058043.2	4182096.2	3787760.2	4063869.8	
sp|Q13614|MTMR2_HUMAN	Q13614	MTMR2_HUMAN	MTMR2	643	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2	0.9886	0.999	2	3	3	3	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0.0	0.0	0.0	0.0	950241.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13615|MTMR3_HUMAN	Q13615	MTMR3_HUMAN	MTMR3	1198	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3	0.9449	0.9971	1	5	5	5	0	2	1	1	0	1	0	2	1	1	0	1	0	2	1	1	0	1	7.769656E7	3547639.0	3176018.0	2350672.5	7.626922E7	8.5874904E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13616|CUL1_HUMAN	Q13616	CUL1_HUMAN	CUL1	776	Homo sapiens	1:Experimental evidence at protein level	Cullin-1	1.0	0.999	14	58	58	58	5	7	8	11	12	15	5	7	8	11	12	15	5	7	8	11	12	15	2.2930388E7	1.7899188E7	2.4785542E7	2.127084E7	3.2135968E7	2.7538384E7	6247868.0	5627785.0	6132884.5	6151778.5	6914330.0	5998139.5	
sp|Q13617|CUL2_HUMAN	Q13617	CUL2_HUMAN	CUL2	745	Homo sapiens	1:Experimental evidence at protein level	Cullin-2	1.0	0.999	18	119	119	119	25	17	16	20	21	20	25	17	16	20	21	20	25	17	16	20	21	20	6.4219956E7	6.114083E7	7.911523E7	6.734087E7	8.0028664E7	6.9598456E7	8941570.0	8727576.0	1.0544676E7	9915601.0	1.095816E7	1.0065925E7	
sp|Q13618|CUL3_HUMAN	Q13618	CUL3_HUMAN	CUL3	768	Homo sapiens	1:Experimental evidence at protein level	Cullin-3	1.0	0.999	18	123	123	123	16	17	17	29	22	22	16	17	17	29	22	22	16	17	17	29	22	22	5.514484E7	5.3711456E7	5.640532E7	6.6876884E7	5.932832E7	6.1748892E7	1.0134721E7	1.0533552E7	1.0666552E7	1.1480635E7	1.0151143E7	9590099.0	
sp|Q13619|CUL4A_HUMAN	Q13619	CUL4A_HUMAN	CUL4A	759	Homo sapiens	1:Experimental evidence at protein level	Cullin-4A	1.0	0.999	13	55	24	55	7	11	10	8	9	10	3	5	4	3	4	5	7	11	10	8	9	10	3.833189E7	3.7601324E7	3.2359646E7	2.9857036E7	3.0405914E7	3.8327884E7	1.2440192E7	1.0814339E7	1.0670497E7	1.0907293E7	1.0616225E7	1.2622304E7	
sp|Q13620|CUL4B_HUMAN	Q13620	CUL4B_HUMAN	CUL4B	913	Homo sapiens	1:Experimental evidence at protein level	Cullin-4B	1.0	0.999	10	20	20	51	2	2	3	4	7	2	2	2	3	4	7	2	6	8	9	9	12	7	3954491.5	8020275.5	1653158.8	8443260.0	1.3973882E7	5825577.0	2519697.2	3152249.2	0.0	3664063.2	3659988.2	3425453.0	
sp|Q13625|ASPP2_HUMAN	Q13625	ASPP2_HUMAN	TP53BP2	1128	Homo sapiens	1:Experimental evidence at protein level	Apoptosis-stimulating of p53 protein 2	0.7135	0.9804	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1810021.2	1704182.2	1950566.2	1671089.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q96KQ4|ASPP1_HUMAN
sp|Q13627|DYR1A_HUMAN	Q13627	DYR1A_HUMAN	DYRK1A	763	Homo sapiens	1:Experimental evidence at protein level	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	0.98	0.999	1	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1275227.6	0.0	0.0	1198640.5	803948.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13630|FCL_HUMAN	Q13630	FCL_HUMAN	GFUS	321	Homo sapiens	1:Experimental evidence at protein level	GDP-L-fucose synthase	1.0	0.999	20	234	234	234	34	31	38	41	51	39	34	31	38	41	51	39	34	31	38	41	51	39	2.4130581E8	2.626471E8	2.7244947E8	3.1504416E8	3.2283264E8	2.7721843E8	3.8939816E7	3.7689276E7	3.8457984E7	4.3469884E7	4.4134036E7	3.941752E7	
sp|Q13637|RAB32_HUMAN	Q13637	RAB32_HUMAN	RAB32	225	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rab-32	1.0	0.999	4	4	4	14	2	1	0	1	0	0	2	1	0	1	0	0	3	3	2	3	1	2	5239784.0	3658971.2	4909740.5	5401448.5	1124667.2	0.0	2955042.8	3535271.0	2746908.0	2134368.2	0.0	0.0	
sp|Q13641|TPBG_HUMAN	Q13641	TPBG_HUMAN	TPBG	420	Homo sapiens	1:Experimental evidence at protein level	Trophoblast glycoprotein	1.0	0.999	5	40	40	40	8	8	9	6	5	4	8	8	9	6	5	4	8	8	9	6	5	4	1.7217036E7	2.4288972E7	2.1232238E7	1.1722188E7	9850550.0	1.0124323E7	6209760.5	8055921.0	7033232.5	4888003.5	5239332.0	4775356.5	
sp|Q13671|RIN1_HUMAN	Q13671	RIN1_HUMAN	RIN1	783	Homo sapiens	1:Experimental evidence at protein level	Ras and Rab interactor 1	0.9803	0.999	1	12	12	12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2342087.5	2525135.5	2409886.5	2468903.5	2471240.5	1900042.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13685|AAMP_HUMAN	Q13685	AAMP_HUMAN	AAMP	434	Homo sapiens	1:Experimental evidence at protein level	Angio-associated migratory cell protein	1.0	0.999	4	42	42	42	6	6	6	8	8	8	6	6	6	8	8	8	6	6	6	8	8	8	1.3200577E7	1.2159664E7	1.4038517E7	1.6608784E7	1.7060126E7	1.8922852E7	4705772.5	4644720.5	5128718.0	6407176.0	6469641.5	7076518.5	
sp|Q13724|MOGS_HUMAN	Q13724	MOGS_HUMAN	MOGS	837	Homo sapiens	1:Experimental evidence at protein level	Mannosyl-oligosaccharide glucosidase	1.0	0.999	32	384	384	384	62	73	60	67	64	58	62	73	60	67	64	58	62	73	60	67	64	58	3.287165E8	4.2038192E8	3.0410186E8	2.7134182E8	2.7840576E8	2.3653843E8	3.2710232E7	3.9872064E7	2.8514752E7	2.7121116E7	2.7589948E7	2.5187206E7	
sp|Q13740|CD166_HUMAN	Q13740	CD166_HUMAN	ALCAM	583	Homo sapiens	1:Experimental evidence at protein level	CD166 antigen	1.0	0.999	24	484	484	484	84	89	82	83	74	72	84	89	82	83	74	72	84	89	82	83	74	72	5.6978925E8	6.990163E8	5.1955958E8	4.3480317E8	5.0356218E8	4.5308947E8	5.159155E7	6.5973644E7	4.7887332E7	3.995782E7	4.8492336E7	4.3231356E7	
sp|Q13751|LAMB3_HUMAN	Q13751	LAMB3_HUMAN	LAMB3	1172	Homo sapiens	1:Experimental evidence at protein level	Laminin subunit beta-3	1.0	0.999	32	222	222	222	53	61	48	20	19	21	53	61	48	20	19	21	53	61	48	20	19	21	1.901202E8	2.1041851E8	1.582721E8	6.00912E7	4.551901E7	5.723159E7	1.4278709E7	1.7636156E7	1.3545233E7	6608854.0	6207562.0	6918764.5	
sp|Q13753|LAMC2_HUMAN	Q13753	LAMC2_HUMAN	LAMC2	1193	Homo sapiens	1:Experimental evidence at protein level	Laminin subunit gamma-2	1.0	0.999	27	135	135	135	33	37	32	12	8	13	33	37	32	12	8	13	33	37	32	12	8	13	1.4676021E8	1.7454405E8	1.3143144E8	5.5237772E7	2.641869E7	3.725896E7	1.2109287E7	1.5516825E7	1.2126304E7	5020458.0	4824501.0	5492739.5	
sp|Q13769|THOC5_HUMAN	Q13769	THOC5_HUMAN	THOC5	683	Homo sapiens	1:Experimental evidence at protein level	THO complex subunit 5	1.0	0.999	15	84	84	84	11	12	10	17	16	18	11	12	10	17	16	18	11	12	10	17	16	18	4.25924E7	5.030863E7	3.155783E7	4.7784196E7	4.639007E7	3.7053732E7	7664722.0	8715832.0	8406547.0	9323854.0	1.054038E7	9741675.0	
sp|Q13795|ARFRP_HUMAN	Q13795	ARFRP_HUMAN	ARFRP1	201	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor-related protein 1	0.9795	0.999	1	6	6	6	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	2155791.0	1976763.6	1961751.6	1862117.2	1639304.9	2196447.8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13813|SPTN1_HUMAN	Q13813	SPTN1_HUMAN	SPTAN1	2472	Homo sapiens	1:Experimental evidence at protein level	Spectrin alpha chain, non-erythrocytic 1	1.0	0.999	216	3889	3889	3889	622	666	619	651	687	644	622	666	619	651	687	644	622	666	619	651	687	644	5.4718223E9	5.578998E9	5.3818445E9	5.2642237E9	5.5434424E9	5.4696294E9	1.9464322E8	2.0069342E8	1.8877363E8	1.8415158E8	1.9991216E8	1.9787258E8	
sp|Q13823|NOG2_HUMAN	Q13823	NOG2_HUMAN	GNL2	731	Homo sapiens	1:Experimental evidence at protein level	Nucleolar GTP-binding protein 2	1.0	0.999	12	52	52	52	12	14	13	4	6	3	12	14	13	4	6	3	12	14	13	4	6	3	4.9169984E7	4.679333E7	3.4512116E7	2.2648792E7	1.856597E7	3989545.5	1.2028099E7	1.4592356E7	1.1682088E7	8871484.0	6043607.0	9424764.0	
sp|Q13838|DX39B_HUMAN	Q13838	DX39B_HUMAN	DDX39B	428	Homo sapiens	1:Experimental evidence at protein level	Spliceosome RNA helicase DDX39B	1.0	0.999	34	739	305	739	123	116	115	130	125	130	49	50	46	52	54	54	123	116	115	130	125	130	1.1139244E9	1.1865838E9	1.1363226E9	1.2067933E9	1.3828676E9	1.2552119E9	1.06081944E8	1.13723576E8	1.12143944E8	1.14927336E8	1.2813553E8	1.210826E8	
sp|Q13867|BLMH_HUMAN	Q13867	BLMH_HUMAN	BLMH	455	Homo sapiens	1:Experimental evidence at protein level	Bleomycin hydrolase	1.0	0.999	14	132	132	132	21	19	26	25	22	19	21	19	26	25	22	19	21	19	26	25	22	19	1.0208965E8	9.845723E7	1.1704523E8	1.277778E8	1.4436043E8	1.33751736E8	2.2767418E7	2.161478E7	2.1719346E7	2.6713158E7	2.7449946E7	2.7508566E7	
sp|Q13868|EXOS2_HUMAN	Q13868	EXOS2_HUMAN	EXOSC2	293	Homo sapiens	1:Experimental evidence at protein level	Exosome complex component RRP4	1.0	0.999	8	42	42	42	4	7	7	9	6	9	4	7	7	9	6	9	4	7	7	9	6	9	2.3418918E7	2.5579356E7	2.197232E7	2.1850106E7	1.3814704E7	6.353737E7	1.0438795E7	1.5452379E7	1.2878755E7	9171957.0	9786362.0	8942954.0	
sp|Q13884|SNTB1_HUMAN	Q13884	SNTB1_HUMAN	SNTB1	538	Homo sapiens	1:Experimental evidence at protein level	Beta-1-syntrophin	1.0	0.999	7	35	29	35	8	7	4	4	7	5	6	5	4	4	6	4	8	7	4	4	7	5	2.4647596E7	2.784493E7	2.2820356E7	4.145475E7	2.7651766E7	1.6777538E7	1.66637E7	1.7595476E7	1.4830667E7	1.3259294E7	1.4744478E7	1.0407334E7	
sp|Q13885|TBB2A_HUMAN	Q13885	TBB2A_HUMAN	TUBB2A	445	Homo sapiens	1:Experimental evidence at protein level	Tubulin beta-2A chain	1.0	0.999	35	26	3	2879	4	4	2	5	5	6	0	0	0	0	1	2	471	427	472	517	506	486	1.045026E7	1.04552E7	1.4971838E7	1.4418114E7	1.4055471E7	1.5525317E7	4849529.0	4696475.0	5393252.0	5650172.5	5441202.5	5820285.5	
sp|Q13887|KLF5_HUMAN	Q13887	KLF5_HUMAN	KLF5	457	Homo sapiens	1:Experimental evidence at protein level	Krueppel-like factor 5	1.0	0.999	2	13	13	13	3	3	2	2	1	2	3	3	2	2	1	2	3	3	2	2	1	2	6142685.5	7958538.0	6063230.5	3253065.2	3709259.8	3249910.5	3019533.0	5384262.0	2936873.2	0.0	0.0	0.0	
sp|Q13888|TF2H2_HUMAN	Q13888	TF2H2_HUMAN	GTF2H2	395	Homo sapiens	1:Experimental evidence at protein level	General transcription factor IIH subunit 2	1.0	0.999	3	11	0	11	1	2	2	3	2	1	0	0	0	0	0	0	1	2	2	3	2	1	4304448.0	5847929.0	5809543.5	4635921.5	5479103.0	1303897.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q6P1K8|T2H2L_HUMAN
sp|Q13889|TF2H3_HUMAN	Q13889	TF2H3_HUMAN	GTF2H3	308	Homo sapiens	1:Experimental evidence at protein level	General transcription factor IIH subunit 3	0.9803	0.999	1	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1432841.6	1683342.2	1474331.0	1791511.1	1901694.4	1686321.1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q13895|BYST_HUMAN	Q13895	BYST_HUMAN	BYSL	437	Homo sapiens	1:Experimental evidence at protein level	Bystin	1.0	0.999	11	54	54	54	9	9	10	9	10	7	9	9	10	9	10	7	9	9	10	9	10	7	4.527673E7	5.048214E7	3.4489176E7	4.705292E7	3.0926568E7	2.7513076E7	1.2301707E7	1.4855598E7	1.3129447E7	1.0326306E7	1.1088431E7	1.0474777E7	
sp|Q13907|IDI1_HUMAN	Q13907	IDI1_HUMAN	IDI1	227	Homo sapiens	1:Experimental evidence at protein level	Isopentenyl-diphosphate Delta-isomerase 1	1.0	0.999	17	174	173	174	29	32	30	25	30	28	29	31	30	25	30	28	29	32	30	25	30	28	2.882147E8	3.3292864E8	2.774887E8	2.4801176E8	2.395587E8	2.321047E8	5.551418E7	6.401626E7	5.5535984E7	4.6685664E7	5.1159336E7	5.4087664E7	
sp|Q13938|CAYP1_HUMAN	Q13938	CAYP1_HUMAN	CAPS	275	Homo sapiens	1:Experimental evidence at protein level	Calcyphosin	1.0	0.999	14	224	224	224	33	27	31	45	48	40	33	27	31	45	48	40	33	27	31	45	48	40	1.3524712E8	1.0650812E8	1.3011501E8	4.092791E8	3.4015888E8	3.8559638E8	2.648024E7	1.9514712E7	2.5212802E7	7.476217E7	6.2280824E7	6.712728E7	
sp|Q13951|PEBB_HUMAN	Q13951	PEBB_HUMAN	CBFB	182	Homo sapiens	1:Experimental evidence at protein level	Core-binding factor subunit beta	1.0	0.999	8	57	57	57	8	7	8	13	12	9	8	7	8	13	12	9	8	7	8	13	12	9	4.610345E7	2.8873752E7	3.006087E7	3.625593E7	3.3924624E7	2.9819892E7	8563053.0	7167507.5	7615745.0	8963700.0	7661122.5	7732506.5	
sp|Q13952|NFYC_HUMAN	Q13952	NFYC_HUMAN	NFYC	458	Homo sapiens	1:Experimental evidence at protein level	Nuclear transcription factor Y subunit gamma	0.9996	0.999	2	26	26	26	4	4	5	5	4	4	4	4	5	5	4	4	4	4	5	5	4	4	6687507.0	8091328.0	7613219.0	6482593.5	6435673.0	5913959.5	3589832.8	4333999.0	4098073.2	3486567.2	3441693.0	3167346.5	
sp|Q14003|KCNC3_HUMAN	Q14003	KCNC3_HUMAN	KCNC3	757	Homo sapiens	1:Experimental evidence at protein level	Voltage-gated potassium channel KCNC3	0.8177	0.9823	1	7	7	7	0	1	2	1	1	2	0	1	2	1	1	2	0	1	2	1	1	2	0.0	0.0	5041526.0	0.0	1.6752218E7	1.877424E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q14004|CDK13_HUMAN	Q14004	CDK13_HUMAN	CDK13	1512	Homo sapiens	1:Experimental evidence at protein level	Cyclin-dependent kinase 13	1.0	0.999	7	13	13	45	3	2	2	2	2	2	3	2	2	2	2	2	7	6	7	7	7	11	1.3946315E7	1.21897E7	1.1077222E7	1.6130291E7	1.2442785E7	1.5014778E7	8651512.0	7753316.5	8223881.5	1.0839023E7	1.0255485E7	1.0459434E7	
sp|Q14008|CKAP5_HUMAN	Q14008	CKAP5_HUMAN	CKAP5	2032	Homo sapiens	1:Experimental evidence at protein level	Cytoskeleton-associated protein 5	1.0	0.999	57	363	363	363	56	63	63	56	61	64	56	63	63	56	61	64	56	63	63	56	61	64	1.9581765E8	2.1017995E8	2.2333854E8	1.889446E8	1.7580192E8	1.877943E8	1.9598198E7	1.9650128E7	1.9686636E7	1.8184442E7	1.6969104E7	1.6810412E7	
sp|Q14011|CIRBP_HUMAN	Q14011	CIRBP_HUMAN	CIRBP	172	Homo sapiens	1:Experimental evidence at protein level	Cold-inducible RNA-binding protein	1.0	0.999	8	80	80	80	14	11	14	17	13	11	14	11	14	17	13	11	14	11	14	17	13	11	6.1181308E7	5.6404076E7	5.226895E7	6.5839636E7	6.356369E7	5.67828E7	1.514119E7	1.4886445E7	1.394754E7	1.5655418E7	1.7076578E7	1.601222E7	
sp|Q14019|COTL1_HUMAN	Q14019	COTL1_HUMAN	COTL1	142	Homo sapiens	1:Experimental evidence at protein level	Coactosin-like protein	1.0	0.999	18	213	213	213	36	35	40	35	33	34	36	35	40	35	33	34	36	35	40	35	33	34	4.2717334E8	3.2818774E8	3.420564E8	2.82232E8	3.3296787E8	2.9624592E8	8.055878E7	7.2137464E7	7.697568E7	7.105119E7	8.033002E7	8.04428E7	
sp|Q14061|COX17_HUMAN	Q14061	COX17_HUMAN	COX17	63	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase copper chaperone	0.9996	0.999	2	13	13	13	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	1.4178575E7	1.6683752E7	1.2375183E7	1.1870976E7	8670375.0	1.1331855E7	0.0	0.0	0.0	0.0	0.0	0.0	
